DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,CRSArrTime,CRSElapsedTime,Distance,ArrDelay,DelayFactor
5,2011-05-20,DL,N527US,67,ATL,"Atlanta, GA",GA,TPA,"Tampa, FL",FL,1610.0,1743.0,93.0,406.0,16.0,CarrierDelay
5,2019-09-13,AA,N177XF,2356,RDU,"Raleigh/Durham, NC",NC,ORD,"Chicago, IL",IL,1817.0,1940.0,143.0,646.0,49.0,NASDelay
7,2010-06-13,OO,N226SW,6172,BFL,"Bakersfield, CA",CA,SFO,"San Francisco, CA",CA,659.0,810.0,71.0,238.0,173.0,CarrierDelay
4,2014-04-24,AS,N459AS,238,SEA,"Seattle, WA",WA,SAN,"San Diego, CA",CA,950.0,1223.0,153.0,1050.0,84.0,CarrierDelay
7,2017-02-05,OO,N554CA,4843,SLC,"Salt Lake City, UT",UT,PSP,"Palm Springs, CA",CA,1100.0,1153.0,113.0,541.0,-6.0,
4,2014-11-20,EV,N730EV,4960,DTW,"Detroit, MI",MI,ORD,"Chicago, IL",IL,1935.0,2002.0,87.0,235.0,86.0,CarrierDelay
6,2017-12-30,OO,N878AS,4472,MSP,"Minneapolis, MN",MN,RAP,"Rapid City, SD",SD,1525.0,1628.0,123.0,489.0,220.0,WeatherDelay
5,2014-10-03,DL,N968AT,527,ATL,"Atlanta, GA",GA,SGF,"Springfield, MO",MO,1905.0,1958.0,113.0,563.0,38.0,WeatherDelay
6,2014-01-04,WN,N794SW,2186,BWI,"Baltimore, MD",MD,HOU,"Houston, TX",TX,1600.0,1830.0,210.0,1246.0,173.0,LateAircraftDelay
7,2013-11-24,DL,N364NB,1705,MSY,"New Orleans, LA",LA,LGA,"New York, NY",NY,1859.0,2251.0,172.0,1183.0,60.0,LateAircraftDelay
4,2014-05-01,MQ,N942MQ,3502,SDF,"Louisville, KY",KY,MIA,"Miami, FL",FL,1450.0,1720.0,150.0,910.0,30.0,NASDelay
5,2015-03-27,OO,N806SK,4675,SLC,"Salt Lake City, UT",UT,STL,"St. Louis, MO",MO,1957.0,2346.0,169.0,1156.0,52.0,CarrierDelay
4,2016-06-23,AA,N961UW,2034,JAX,"Jacksonville, FL",FL,PHL,"Philadelphia, PA",PA,1050.0,1252.0,122.0,742.0,31.0,NASDelay
1,2015-08-17,EV,N678AE,2600,LCH,"Lake Charles, LA",LA,DFW,"Dallas/Fort Worth, TX",TX,1825.0,1943.0,78.0,295.0,-14.0,
4,2019-02-14,AS,N428AS,17,PHL,"Philadelphia, PA",PA,SEA,"Seattle, WA",WA,1700.0,2015.0,375.0,2378.0,-18.0,
3,2019-03-20,AS,N532AS,692,OGG,"Kahului, HI",HI,LAX,"Los Angeles, CA",CA,1045.0,1905.0,320.0,2486.0,-6.0,
1,2019-03-04,HA,N212HA,45,SJC,"San Jose, CA",CA,OGG,"Kahului, HI",HI,700.0,1040.0,340.0,2355.0,15.0,CarrierDelay
2,2017-05-09,OO,N609SK,4770,DSM,"Des Moines, IA",IA,SLC,"Salt Lake City, UT",UT,1745.0,1928.0,163.0,955.0,-10.0,
1,2014-09-15,AS,N615AS,621,LAS,"Las Vegas, NV",NV,PDX,"Portland, OR",OR,1945.0,2153.0,128.0,763.0,-10.0,
3,2014-11-19,UA,N418UA,626,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,1937.0,2244.0,127.0,678.0,65.0,LateAircraftDelay
4,2019-10-24,UA,N37465,1751,LAS,"Las Vegas, NV",NV,IAH,"Houston, TX",TX,100.0,554.0,174.0,1222.0,-6.0,
7,2011-01-09,US,N196UW,967,PHL,"Philadelphia, PA",PA,SFO,"San Francisco, CA",CA,1800.0,2125.0,385.0,2521.0,-2.0,
7,2016-09-25,OO,N170SY,3460,PDX,"Portland, OR",OR,ONT,"Ontario, CA",CA,645.0,901.0,136.0,838.0,-7.0,
6,2010-05-08,AA,N564AA,418,DFW,"Dallas/Fort Worth, TX",TX,MCI,"Kansas City, MO",MO,1500.0,1630.0,90.0,460.0,-9.0,
2,2016-08-23,HA,N592HA,68,LIH,"Lihue, HI",HI,OAK,"Oakland, CA",CA,1340.0,2200.0,320.0,2457.0,-26.0,
4,2013-02-21,AA,N526AA,1040,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,600.0,715.0,75.0,258.0,-18.0,
4,2018-03-08,YX,N426YX,4658,LGA,"New York, NY",NY,ATL,"Atlanta, GA",GA,1201.0,1448.0,167.0,762.0,-20.0,
2,2013-01-29,WN,N763SW,1976,MDW,"Chicago, IL",IL,CMH,"Columbus, OH",OH,1625.0,1835.0,70.0,283.0,-14.0,
6,2017-11-04,AS,N520AS,85,ATL,"Atlanta, GA",GA,SEA,"Seattle, WA",WA,645.0,916.0,331.0,2182.0,57.0,LateAircraftDelay
1,2010-12-27,US,N126UW,1419,PHL,"Philadelphia, PA",PA,LAX,"Los Angeles, CA",CA,940.0,1250.0,370.0,2401.0,324.0,WeatherDelay
1,2013-02-11,US,N770UW,2173,LGA,"New York, NY",NY,DCA,"Washington, DC",VA,1200.0,1309.0,69.0,214.0,204.0,WeatherDelay
3,2015-02-25,DL,N967DL,1199,ATL,"Atlanta, GA",GA,STL,"St. Louis, MO",MO,1526.0,1618.0,112.0,484.0,-13.0,
6,2012-12-01,OO,N760SK,5180,CLT,"Charlotte, NC",NC,IAH,"Houston, TX",TX,1350.0,1542.0,172.0,912.0,-37.0,
1,2015-03-09,WN,N936WN,4640,EWR,"Newark, NJ",NJ,BNA,"Nashville, TN",TN,615.0,750.0,155.0,748.0,-5.0,
2,2013-04-09,WN,N419WN,161,MDW,"Chicago, IL",IL,SNA,"Santa Ana, CA",CA,1010.0,1250.0,280.0,1731.0,-18.0,
4,2016-11-24,NK,N508NK,126,FLL,"Fort Lauderdale, FL",FL,MYR,"Myrtle Beach, SC",SC,2005.0,2143.0,98.0,529.0,-5.0,
6,2014-06-14,US,N449US,1936,RSW,"Fort Myers, FL",FL,CLT,"Charlotte, NC",NC,815.0,1010.0,115.0,600.0,-18.0,
7,2017-09-24,WN,N485WN,3971,OAK,"Oakland, CA",CA,LAS,"Las Vegas, NV",NV,2025.0,2150.0,85.0,407.0,28.0,LateAircraftDelay
7,2013-01-20,AS,N585AS,481,SAN,"San Diego, CA",CA,SEA,"Seattle, WA",WA,1126.0,1415.0,169.0,1050.0,-3.0,
3,2013-07-03,MQ,N697MQ,2795,SGF,"Springfield, MO",MO,DFW,"Dallas/Fort Worth, TX",TX,920.0,1045.0,85.0,364.0,-9.0,
4,2019-09-05,AS,N477AS,971,SEA,"Seattle, WA",WA,ANC,"Anchorage, AK",AK,1700.0,1940.0,220.0,1448.0,-11.0,
7,2017-11-05,DL,N916DN,1082,TPA,"Tampa, FL",FL,MSP,"Minneapolis, MN",MN,1410.0,1638.0,208.0,1306.0,-1.0,
2,2013-11-19,EV,N14542,5886,SYR,"Syracuse, NY",NY,IAD,"Washington, DC",VA,1953.0,2112.0,79.0,296.0,-13.0,
5,2018-01-05,UA,N36207,1773,EWR,"Newark, NJ",NJ,PWM,"Portland, ME",ME,2158.0,2316.0,78.0,284.0,126.0,CarrierDelay
4,2018-09-27,DL,N853DN,2647,SJC,"San Jose, CA",CA,MSP,"Minneapolis, MN",MN,1120.0,1658.0,218.0,1575.0,-14.0,
1,2010-05-03,EV,N354CA,5219,ATL,"Atlanta, GA",GA,VPS,"Valparaiso, FL",FL,2056.0,2110.0,74.0,250.0,-3.0,
4,2015-03-05,MQ,N512MQ,2951,ORD,"Chicago, IL",IL,DSM,"Des Moines, IA",IA,1745.0,1900.0,75.0,299.0,-9.0,
3,2014-06-18,WN,N775SW,4618,BWI,"Baltimore, MD",MD,MCO,"Orlando, FL",FL,1600.0,1815.0,135.0,787.0,38.0,CarrierDelay
3,2011-11-30,XE,N17196,5901,ORD,"Chicago, IL",IL,ATW,"Appleton, WI",WI,2052.0,2145.0,53.0,160.0,-16.0,
5,2017-11-03,WN,N8658A,866,DEN,"Denver, CO",CO,FLL,"Fort Lauderdale, FL",FL,1020.0,1610.0,230.0,1703.0,64.0,CarrierDelay
6,2019-04-06,OO,N494CA,7365,ABR,"Aberdeen, SD",SD,MSP,"Minneapolis, MN",MN,500.0,618.0,78.0,257.0,401.0,WeatherDelay
2,2013-09-24,OO,N460SW,4603,DFW,"Dallas/Fort Worth, TX",TX,MEM,"Memphis, TN",TN,1145.0,1314.0,89.0,432.0,-5.0,
2,2019-11-26,OO,N183SY,3472,SAN,"San Diego, CA",CA,FAT,"Fresno, CA",CA,1910.0,2030.0,80.0,314.0,-10.0,
1,2016-08-08,WN,N7841A,243,SFO,"San Francisco, CA",CA,SNA,"Santa Ana, CA",CA,1920.0,2045.0,85.0,372.0,31.0,LateAircraftDelay
4,2017-11-16,OO,N751SK,3163,PHX,"Phoenix, AZ",AZ,LBB,"Lubbock, TX",TX,935.0,1230.0,115.0,588.0,-15.0,
2,2019-07-09,WN,N7857B,702,MCO,"Orlando, FL",FL,ISP,"Islip, NY",NY,1625.0,1855.0,150.0,971.0,131.0,CarrierDelay
3,2012-08-15,DL,N364NB,1120,SLC,"Salt Lake City, UT",UT,OAK,"Oakland, CA",CA,1650.0,1754.0,124.0,588.0,-16.0,
3,2014-08-06,EV,N17560,4166,GSP,"Greer, SC",SC,EWR,"Newark, NJ",NJ,1035.0,1230.0,115.0,594.0,23.0,LateAircraftDelay
2,2019-03-26,WN,N8548P,2165,TUS,"Tucson, AZ",AZ,MDW,"Chicago, IL",IL,720.0,1235.0,195.0,1440.0,-8.0,
4,2010-11-18,B6,N651JB,262,LGB,"Long Beach, CA",CA,SMF,"Sacramento, CA",CA,700.0,823.0,83.0,387.0,51.0,WeatherDelay
1,2016-05-16,WN,N949WN,269,PBI,"West Palm Beach/Palm Beach, FL",FL,ATL,"Atlanta, GA",GA,530.0,715.0,105.0,545.0,-15.0,
2,2014-09-23,WN,N388SW,752,DEN,"Denver, CO",CO,AUS,"Austin, TX",TX,630.0,935.0,125.0,775.0,-15.0,
7,2016-08-21,DL,N975DL,1265,ATL,"Atlanta, GA",GA,SAV,"Savannah, GA",GA,1240.0,1349.0,69.0,214.0,-7.0,
6,2017-02-18,AA,N668AA,1656,CLT,"Charlotte, NC",NC,DTW,"Detroit, MI",MI,2215.0,2359.0,104.0,500.0,-10.0,
1,2017-08-21,OO,N463SW,4773,SLC,"Salt Lake City, UT",UT,PSC,"Pasco/Kennewick/Richland, WA",WA,1525.0,1610.0,105.0,521.0,24.0,CarrierDelay
3,2019-05-29,B6,N283JB,2168,PBI,"West Palm Beach/Palm Beach, FL",FL,HPN,"White Plains, NY",NY,1808.0,2059.0,171.0,1056.0,34.0,NASDelay
7,2018-04-08,WN,N272WN,2714,TPA,"Tampa, FL",FL,MDW,"Chicago, IL",IL,530.0,710.0,160.0,997.0,23.0,NASDelay
5,2013-12-06,US,N708UW,855,PVD,"Providence, RI",RI,CLT,"Charlotte, NC",NC,1010.0,1230.0,140.0,683.0,-4.0,
7,2010-08-22,WN,N216WR,150,MDW,"Chicago, IL",IL,MCO,"Orlando, FL",FL,950.0,1325.0,155.0,989.0,-8.0,
4,2016-05-12,DL,N659DL,903,ATL,"Atlanta, GA",GA,BOS,"Boston, MA",MA,2050.0,2332.0,162.0,946.0,-11.0,
4,2013-08-01,WN,N451WN,3248,BWI,"Baltimore, MD",MD,ORF,"Norfolk, VA",VA,1850.0,1940.0,50.0,159.0,24.0,LateAircraftDelay
6,2018-02-17,UA,N14228,1229,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,845.0,1042.0,177.0,964.0,-19.0,
4,2019-11-07,B6,N994JL,1471,LGA,"New York, NY",NY,FLL,"Fort Lauderdale, FL",FL,2100.0,2358.0,178.0,1076.0,21.0,NASDelay
6,2016-01-16,AA,N3MFAA,1151,ORD,"Chicago, IL",IL,SAN,"San Diego, CA",CA,1705.0,1929.0,264.0,1723.0,-16.0,
1,2018-12-03,DL,N904DE,2659,BUF,"Buffalo, NY",NY,ATL,"Atlanta, GA",GA,1315.0,1532.0,137.0,712.0,-1.0,
1,2012-01-23,DL,N657DL,1703,ATL,"Atlanta, GA",GA,LAS,"Las Vegas, NV",NV,1740.0,1922.0,282.0,1747.0,46.0,LateAircraftDelay
5,2019-11-08,9E,N197PQ,5255,ATL,"Atlanta, GA",GA,TRI,"Bristol/Johnson City/Kingsport, TN",TN,810.0,916.0,66.0,227.0,-15.0,
3,2019-09-04,DL,N309DN,2255,SAN,"San Diego, CA",CA,ATL,"Atlanta, GA",GA,1425.0,2142.0,257.0,1892.0,-12.0,
2,2012-02-21,WN,N371SW,38,HOU,"Houston, TX",TX,DAL,"Dallas, TX",TX,1530.0,1630.0,60.0,239.0,15.0,LateAircraftDelay
1,2013-04-22,UA,N812UA,705,SNA,"Santa Ana, CA",CA,SFO,"San Francisco, CA",CA,1350.0,1520.0,90.0,372.0,-22.0,
6,2013-08-24,WN,N551WN,1611,BWI,"Baltimore, MD",MD,PVD,"Providence, RI",RI,935.0,1050.0,75.0,327.0,-11.0,
4,2015-06-11,UA,N801UA,425,IAH,"Houston, TX",TX,ATL,"Atlanta, GA",GA,1258.0,1615.0,137.0,689.0,16.0,NASDelay
1,2015-12-07,EV,N17984,4289,IAH,"Houston, TX",TX,LFT,"Lafayette, LA",LA,1535.0,1634.0,59.0,201.0,-7.0,
2,2014-02-04,B6,N834JB,1414,SFO,"San Francisco, CA",CA,AUS,"Austin, TX",TX,1731.0,2249.0,198.0,1504.0,-29.0,
5,2018-01-12,WN,N921WN,142,BOS,"Boston, MA",MA,MKE,"Milwaukee, WI",WI,740.0,925.0,165.0,860.0,35.0,NASDelay
3,2013-02-27,OO,N773SK,5525,TUS,"Tucson, AZ",AZ,LAX,"Los Angeles, CA",CA,1736.0,1810.0,94.0,451.0,-7.0,
6,2016-01-09,OO,N748SK,6466,SLC,"Salt Lake City, UT",UT,DEN,"Denver, CO",CO,1312.0,1439.0,87.0,391.0,-10.0,
5,2016-05-13,UA,N803UA,1968,PHL,"Philadelphia, PA",PA,DEN,"Denver, CO",CO,1535.0,1801.0,266.0,1558.0,54.0,LateAircraftDelay
1,2019-12-09,UA,N15751,943,ORD,"Chicago, IL",IL,PBI,"West Palm Beach/Palm Beach, FL",FL,745.0,1152.0,187.0,1143.0,-19.0,
1,2015-03-23,DL,N929AT,751,GRR,"Grand Rapids, MI",MI,ATL,"Atlanta, GA",GA,1324.0,1531.0,127.0,640.0,-22.0,
2,2012-02-14,MQ,N542MQ,3872,ORD,"Chicago, IL",IL,ELP,"El Paso, TX",TX,1150.0,1405.0,195.0,1236.0,44.0,WeatherDelay
5,2017-09-01,DL,N330NW,1090,DTW,"Detroit, MI",MI,BUF,"Buffalo, NY",NY,2211.0,2316.0,65.0,241.0,-8.0,
2,2015-09-15,MQ,N654MQ,3500,AMA,"Amarillo, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,1623.0,1745.0,82.0,312.0,-29.0,
3,2010-03-03,WN,N736SA,683,BWI,"Baltimore, MD",MD,STL,"St. Louis, MO",MO,1515.0,1640.0,145.0,737.0,-28.0,
3,2018-02-07,AA,N824AW,1840,AUS,"Austin, TX",TX,CLT,"Charlotte, NC",NC,1339.0,1726.0,167.0,1032.0,-24.0,
3,2011-02-23,AS,N754AS,637,PHX,"Phoenix, AZ",AZ,SEA,"Seattle, WA",WA,2020.0,2220.0,180.0,1107.0,28.0,WeatherDelay
4,2013-05-16,OO,N417SW,2600,SJC,"San Jose, CA",CA,LAX,"Los Angeles, CA",CA,650.0,810.0,80.0,308.0,85.0,CarrierDelay
2,2015-12-01,DL,N929AT,1903,MSP,"Minneapolis, MN",MN,ROC,"Rochester, NY",NY,1301.0,1604.0,123.0,783.0,19.0,LateAircraftDelay
6,2015-10-24,F9,N206FR,1315,MIA,"Miami, FL",FL,ORD,"Chicago, IL",IL,1220.0,1443.0,203.0,1197.0,99.0,NASDelay
5,2011-07-08,EV,N879AS,5170,TRI,"Bristol/Johnson City/Kingsport, TN",TN,ATL,"Atlanta, GA",GA,1359.0,1506.0,67.0,227.0,73.0,WeatherDelay
4,2010-07-22,WN,N439WN,1204,SNA,"Santa Ana, CA",CA,OAK,"Oakland, CA",CA,2015.0,2135.0,80.0,371.0,-9.0,
2,2013-11-05,EV,N823AS,4900,MOB,"Mobile, AL",AL,ATL,"Atlanta, GA",GA,1254.0,1506.0,72.0,302.0,-6.0,
7,2017-04-09,AA,N3GBAA,2501,DFW,"Dallas/Fort Worth, TX",TX,BNA,"Nashville, TN",TN,2020.0,2205.0,105.0,631.0,-5.0,
4,2010-06-24,CO,N27239,1618,EWR,"Newark, NJ",NJ,TPA,"Tampa, FL",FL,1450.0,1746.0,176.0,998.0,48.0,NASDelay
6,2015-07-11,B6,N943JB,1024,LAX,"Los Angeles, CA",CA,JFK,"New York, NY",NY,2305.0,732.0,327.0,2475.0,-24.0,
5,2017-05-26,DL,N833MH,991,ATL,"Atlanta, GA",GA,DTW,"Detroit, MI",MI,1340.0,1540.0,120.0,594.0,25.0,CarrierDelay
4,2016-09-15,WN,N625SW,616,RDU,"Raleigh/Durham, NC",NC,DAL,"Dallas, TX",TX,1600.0,1740.0,160.0,1052.0,34.0,NASDelay
2,2012-04-03,AS,N589AS,885,PDX,"Portland, OR",OR,KOA,"Kona, HI",HI,1140.0,1445.0,365.0,2607.0,0.0,
5,2012-09-21,MQ,N818MQ,3957,MEM,"Memphis, TN",TN,ORD,"Chicago, IL",IL,1415.0,1600.0,105.0,492.0,0.0,
5,2016-04-22,UA,N76503,495,DEN,"Denver, CO",CO,IAD,"Washington, DC",VA,952.0,1518.0,206.0,1452.0,60.0,LateAircraftDelay
3,2013-05-01,9E,N8974C,3772,MEM,"Memphis, TN",TN,CLT,"Charlotte, NC",NC,1425.0,1716.0,111.0,511.0,24.0,CarrierDelay
1,2017-07-10,UA,N461UA,1199,DEN,"Denver, CO",CO,ONT,"Ontario, CA",CA,1920.0,2036.0,136.0,819.0,-11.0,
2,2012-07-17,DL,N368NB,437,JFK,"New York, NY",NY,MSP,"Minneapolis, MN",MN,1130.0,1341.0,191.0,1029.0,-34.0,
2,2015-01-27,DL,N948DL,1078,PNS,"Pensacola, FL",FL,ATL,"Atlanta, GA",GA,725.0,940.0,75.0,271.0,-8.0,
3,2015-12-23,EV,N12175,4237,ORF,"Norfolk, VA",VA,ORD,"Chicago, IL",IL,1705.0,1830.0,145.0,717.0,153.0,LateAircraftDelay
1,2018-03-26,OO,N926SW,5206,LAX,"Los Angeles, CA",CA,MRY,"Monterey, CA",CA,725.0,850.0,85.0,266.0,-13.0,
1,2011-08-15,DL,N367NW,1107,MIA,"Miami, FL",FL,MSP,"Minneapolis, MN",MN,1349.0,1635.0,226.0,1501.0,20.0,WeatherDelay
2,2017-11-07,DL,N915DN,560,MHT,"Manchester, NH",NH,ATL,"Atlanta, GA",GA,604.0,905.0,181.0,952.0,-20.0,
4,2018-04-05,OH,N551NN,5329,HSV,"Huntsville, AL",AL,CLT,"Charlotte, NC",NC,601.0,844.0,103.0,333.0,-4.0,
5,2018-08-31,B6,N633JB,1166,LGB,"Long Beach, CA",CA,SMF,"Sacramento, CA",CA,1653.0,1814.0,81.0,387.0,-4.0,
7,2013-12-29,OO,N707SK,5533,LAX,"Los Angeles, CA",CA,HDN,"Hayden, CO",CO,1245.0,1539.0,114.0,763.0,34.0,NASDelay
6,2019-03-23,WN,N480WN,3188,SAN,"San Diego, CA",CA,MDW,"Chicago, IL",IL,810.0,1405.0,235.0,1728.0,-9.0,
3,2010-08-25,F9,N922FR,780,LAS,"Las Vegas, NV",NV,DEN,"Denver, CO",CO,1945.0,2232.0,107.0,629.0,-12.0,
2,2014-09-02,UA,N448UA,264,IAH,"Houston, TX",TX,PHX,"Phoenix, AZ",AZ,1420.0,1508.0,168.0,1009.0,-2.0,
4,2010-10-28,AA,N4YLAA,829,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,2115.0,2205.0,110.0,592.0,30.0,LateAircraftDelay
2,2016-11-22,AA,N365AA,2660,MIA,"Miami, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,915.0,1129.0,194.0,1121.0,-13.0,
6,2011-04-30,AA,N4WMAA,1298,PHX,"Phoenix, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,1110.0,1530.0,140.0,868.0,-12.0,
5,2011-02-18,DL,N778NC,2220,ORD,"Chicago, IL",IL,DTW,"Detroit, MI",MI,1015.0,1243.0,88.0,235.0,-25.0,
1,2010-01-11,WN,N419WN,1499,PBI,"West Palm Beach/Palm Beach, FL",FL,ISP,"Islip, NY",NY,1835.0,2115.0,160.0,1052.0,-12.0,
3,2017-12-27,B6,N804JB,1631,SLC,"Salt Lake City, UT",UT,LGB,"Long Beach, CA",CA,1405.0,1459.0,114.0,588.0,-13.0,
6,2015-04-04,AS,N705AS,449,LAX,"Los Angeles, CA",CA,SEA,"Seattle, WA",WA,1350.0,1637.0,167.0,954.0,-8.0,
5,2013-03-01,AA,N489AA,1181,RDU,"Raleigh/Durham, NC",NC,DFW,"Dallas/Fort Worth, TX",TX,1130.0,1340.0,190.0,1061.0,-12.0,
5,2019-03-29,WN,N289CT,1922,SFO,"San Francisco, CA",CA,LAX,"Los Angeles, CA",CA,1445.0,1615.0,90.0,337.0,121.0,LateAircraftDelay
3,2015-05-27,US,N154UW,1805,CLT,"Charlotte, NC",NC,IAH,"Houston, TX",TX,2220.0,2.0,162.0,912.0,99.0,CarrierDelay
2,2015-09-08,UA,N476UA,451,PHL,"Philadelphia, PA",PA,ORD,"Chicago, IL",IL,1335.0,1454.0,139.0,678.0,202.0,NASDelay
2,2011-07-26,CO,N12225,1760,EWR,"Newark, NJ",NJ,LAS,"Las Vegas, NV",NV,1729.0,2011.0,342.0,2227.0,26.0,CarrierDelay
1,2016-11-28,EV,N907EV,2814,LAW,"Lawton/Fort Sill, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,507.0,610.0,63.0,140.0,-9.0,
3,2016-05-04,WN,N477WN,3532,BNA,"Nashville, TN",TN,JAX,"Jacksonville, FL",FL,1205.0,1430.0,85.0,483.0,39.0,LateAircraftDelay
1,2010-08-23,WN,N937WN,341,BWI,"Baltimore, MD",MD,ABQ,"Albuquerque, NM",NM,1510.0,1715.0,245.0,1670.0,32.0,LateAircraftDelay
1,2019-06-17,OH,N549NN,5579,CLT,"Charlotte, NC",NC,FAY,"Fayetteville, NC",NC,2004.0,2053.0,49.0,118.0,38.0,CarrierDelay
5,2017-08-11,EV,N14916,4457,EWR,"Newark, NJ",NJ,LEX,"Lexington, KY",KY,1435.0,1644.0,129.0,588.0,-16.0,
2,2013-05-14,DL,N340NB,1097,DTW,"Detroit, MI",MI,BOS,"Boston, MA",MA,732.0,929.0,117.0,632.0,-6.0,
4,2017-05-25,UA,N471UA,1563,EWR,"Newark, NJ",NJ,MSY,"New Orleans, LA",LA,1710.0,1924.0,194.0,1167.0,443.0,WeatherDelay
1,2015-02-23,WN,N7711N,2672,ATL,"Atlanta, GA",GA,DCA,"Washington, DC",VA,1520.0,1700.0,100.0,547.0,86.0,CarrierDelay
3,2010-01-20,MQ,N829MQ,4267,ORD,"Chicago, IL",IL,EVV,"Evansville, IN",IN,2035.0,2140.0,65.0,273.0,28.0,NASDelay
5,2017-12-08,OO,N146SY,5449,SFO,"San Francisco, CA",CA,BOI,"Boise, ID",ID,847.0,1140.0,113.0,522.0,-10.0,
5,2016-04-15,WN,N792SW,2277,MDW,"Chicago, IL",IL,DAY,"Dayton, OH",OH,2150.0,2355.0,65.0,226.0,28.0,LateAircraftDelay
7,2015-02-08,UA,N66837,1688,ORD,"Chicago, IL",IL,SJU,"San Juan, PR",PR,825.0,1505.0,280.0,2072.0,-15.0,
6,2017-05-20,DL,N993AT,1652,MCI,"Kansas City, MO",MO,DTW,"Detroit, MI",MI,800.0,1049.0,109.0,629.0,0.0,
4,2015-03-05,AA,N3CGAA,1179,MIA,"Miami, FL",FL,DCA,"Washington, DC",VA,1115.0,1347.0,152.0,919.0,35.0,LateAircraftDelay
1,2016-02-15,AA,N3CDAA,1483,ORD,"Chicago, IL",IL,FLL,"Fort Lauderdale, FL",FL,1846.0,2251.0,185.0,1182.0,89.0,WeatherDelay
4,2010-05-13,DL,N503US,2517,DTW,"Detroit, MI",MI,LAS,"Las Vegas, NV",NV,1915.0,2048.0,273.0,1750.0,59.0,NASDelay
3,2019-04-03,YX,N649RW,3561,IND,"Indianapolis, IN",IN,EWR,"Newark, NJ",NJ,1330.0,1537.0,127.0,645.0,38.0,NASDelay
4,2017-01-05,WN,N8504G,713,DEN,"Denver, CO",CO,FLL,"Fort Lauderdale, FL",FL,1155.0,1735.0,220.0,1703.0,106.0,LateAircraftDelay
7,2016-08-21,WN,N7832A,1624,MDW,"Chicago, IL",IL,MEM,"Memphis, TN",TN,2135.0,2310.0,95.0,480.0,-14.0,
4,2018-01-25,B6,N784JB,531,SLC,"Salt Lake City, UT",UT,LGB,"Long Beach, CA",CA,1901.0,1954.0,113.0,588.0,-1.0,
4,2014-09-18,WN,N378SW,52,ELP,"El Paso, TX",TX,HOU,"Houston, TX",TX,1540.0,1830.0,110.0,677.0,62.0,LateAircraftDelay
7,2011-08-14,XE,N16559,2248,MEM,"Memphis, TN",TN,EWR,"Newark, NJ",NJ,1900.0,2228.0,148.0,946.0,70.0,LateAircraftDelay
1,2019-12-16,OO,N144SY,5806,LAX,"Los Angeles, CA",CA,SMF,"Sacramento, CA",CA,1715.0,1852.0,97.0,373.0,59.0,CarrierDelay
4,2017-11-30,EV,N195PQ,5344,HPN,"White Plains, NY",NY,ATL,"Atlanta, GA",GA,1246.0,1526.0,160.0,781.0,-27.0,
5,2016-12-02,WN,N8643A,5651,LAS,"Las Vegas, NV",NV,PHL,"Philadelphia, PA",PA,1350.0,2125.0,275.0,2176.0,16.0,CarrierDelay
2,2010-10-26,OH,N965CA,6415,CVG,"Cincinnati, OH",KY,GRR,"Grand Rapids, MI",MI,1120.0,1226.0,66.0,268.0,16.0,NASDelay
7,2012-07-08,MQ,N668MQ,3405,DFW,"Dallas/Fort Worth, TX",TX,SPS,"Wichita Falls, TX",TX,750.0,835.0,45.0,113.0,-12.0,
2,2019-05-21,WN,N940WN,1237,IND,"Indianapolis, IN",IN,RSW,"Fort Myers, FL",FL,630.0,900.0,150.0,945.0,-16.0,
1,2010-10-25,US,N305AW,583,PHX,"Phoenix, AZ",AZ,GEG,"Spokane, WA",WA,1026.0,1318.0,172.0,1020.0,25.0,NASDelay
5,2015-10-23,UA,N76504,1618,IAH,"Houston, TX",TX,AUS,"Austin, TX",TX,909.0,1010.0,61.0,140.0,20.0,NASDelay
3,2011-07-13,EV,N924EV,5184,ATL,"Atlanta, GA",GA,BTR,"Baton Rouge, LA",LA,915.0,952.0,97.0,448.0,-14.0,
5,2017-06-09,NK,N603NK,107,DFW,"Dallas/Fort Worth, TX",TX,SAN,"San Diego, CA",CA,830.0,941.0,191.0,1171.0,27.0,WeatherDelay
4,2013-08-01,WN,N217JC,2696,MCO,"Orlando, FL",FL,PHL,"Philadelphia, PA",PA,845.0,1110.0,145.0,861.0,58.0,WeatherDelay
2,2012-09-25,EV,N14942,4173,IAH,"Houston, TX",TX,BHM,"Birmingham, AL",AL,1259.0,1440.0,101.0,562.0,-15.0,
3,2010-05-26,OO,N932SW,5854,DEN,"Denver, CO",CO,CID,"Cedar Rapids/Iowa City, IA",IA,2012.0,2306.0,114.0,693.0,85.0,WeatherDelay
